Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,-33,36,0
Jamal Murray,222,10,0
Jamal Murray,-114,60,1
Jamal Murray,-78,59,1
Jamal Murray,3,94,0
Jamal Murray,178,174,1
Jamal Murray,-109,229,0
Jamal Murray,-75,66,1
Jamal Murray,63,185,1
Jamal Murray,-5,256,0
Jamal Murray,-3,10,1
Jamal Murray,67,14,1
Jamal Murray,104,168,0
Jamal Murray,148,83,0
Jamal Murray,-42,119,0
Jamal Murray,145,226,0
Jamal Murray,-5,3,1
Jamal Murray,29,25,1
Jamal Murray,-121,23,1
Jamal Murray,-121,118,1
Jamal Murray,-74,125,1
Jamal Murray,226,86,0
Jamal Murray,-7,251,0
Jamal Murray,127,231,0
Jamal Murray,-226,42,1
Jamal Murray,19,27,1
Jamal Murray,133,226,0
Jamal Murray,239,31,1
Jamal Murray,-35,251,0
Jamal Murray,-209,130,0
Jamal Murray,2,96,1
Jamal Murray,-5,10,1
Jamal Murray,-11,5,1
Jamal Murray,54,247,1
Jamal Murray,150,201,0
Jamal Murray,14,17,0
Jamal Murray,131,172,1
Jamal Murray,33,10,0
Jamal Murray,7,15,0
Jamal Murray,120,208,0
Jamal Murray,66,105,0
Jamal Murray,234,55,1
Jamal Murray,-18,9,0
Jamal Murray,93,236,0
Jamal Murray,24,8,0
Jamal Murray,38,67,1
Jamal Murray,-127,249,0
Jamal Murray,127,146,1
Jamal Murray,89,212,0
Jamal Murray,74,149,1
Jamal Murray,-105,136,1
Jamal Murray,131,113,0
Jamal Murray,-228,13,1
Jamal Murray,-19,176,0
Jamal Murray,30,143,0
Jamal Murray,79,241,1
Jamal Murray,3,7,1
Jamal Murray,-120,236,1
Jamal Murray,-164,225,1
Jamal Murray,221,23,1
Jamal Murray,223,37,1
Jamal Murray,-38,122,0
Jamal Murray,-44,117,0
Jamal Murray,-98,263,0
Jamal Murray,62,55,0
Jamal Murray,229,24,0
Jamal Murray,5,10,1
Jamal Murray,-22,263,1
Jamal Murray,-18,248,0
Jamal Murray,106,239,0
Jamal Murray,168,176,0
Jamal Murray,-82,90,0
Jamal Murray,-11,20,0
Jamal Murray,-3,11,1
Jamal Murray,96,232,0
Jamal Murray,0,13,1
Jamal Murray,13,6,1
Jamal Murray,-34,609,0
Jamal Murray,228,82,0
Jamal Murray,105,119,0
Jamal Murray,-14,15,0
Jamal Murray,-152,183,0
Jamal Murray,-3,55,0
Jamal Murray,-147,195,0
